Source:,C:/Users/Win 7/Documents/KiCAD/LCD_Controller/LCD_Controller.sch,,,,
Date:,26/11/2018 11:17,,,,
Tool:,Eeschema 4.0.7,,,,
Component Count:,38,,,,
Ref,Value,Footprint,Datasheet,Manufacturer,Vendor
C1,1uF Ceramic,Capacitors_SMD:C_0805,,,
C2,1uF Ceramic,Capacitors_SMD:C_0805,,,
C3,0.1uF,Capacitors_SMD:C_0805,,,
C4,0.1uF,Capacitors_SMD:C_0805,,,
C5,0.1uF,Capacitors_SMD:C_0805,,,
D1,RED LED,LEDs:LED_0805_HandSoldering,,,
IC1,XC6206,TO_SOT_Packages_SMD:SOT-23,,,
IC2,PCF8574A,Housings_SOIC:SOIC-16W_7.5x10.3mm_Pitch1.27mm,,,
J1,LCD,Connectors_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight,,,
J2,GS2,Connectors:GS2,,,
J3,GS2,Connectors:GS2,,,
J4,GS2,Connectors:GS2,,,
J5,To LCD,Pin_Headers:Pin_Header_Straight_1x16_Pitch2.54mm,,,
J6,GS2,Connectors:GS2,,,
J7,GS2,Connectors:GS2,,,
JP1,Jumper,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,,,
Q1,DMG3414U,TO_SOT_Packages_SMD:SOT-23,,,
Q2,DMG3414U,TO_SOT_Packages_SMD:SOT-23,,,
R1,10K,Resistors_SMD:R_0805,,,
R2,10K,Resistors_SMD:R_0805,,,
R3,1K,Resistors_SMD:R_0805,,,
R4,10K,Resistors_SMD:R_0805,,,
R5,10K,Resistors_SMD:R_0805,,,
R6,1K,Resistors_SMD:R_0805,,,
R7,1K,Resistors_SMD:R_0805,,,
R9,1K,Resistors_SMD:R_0805,,,
ROpt1,4K7,Resistors_SMD:R_0805,,,
ROpt2,4K7,Resistors_SMD:R_0805,,,
ROpt3,0R,Resistors_SMD:R_0805,,,
ROpt4,0R,Resistors_SMD:R_0805,,,
ROpt5,4K7,Resistors_SMD:R_0805,,,
ROpt6,4K7,Resistors_SMD:R_0805,,,
RV1,10K,Potentiometers:Potentiometer_Trimmer_Vishay_T73XW_Vertical,,,
T1,BCW66GLT1G,TO_SOT_Packages_SMD:SOT-23,,,
T2,BC858C,TO_SOT_Packages_SMD:SOT-23,,,
T3,BCW66GLT1G,TO_SOT_Packages_SMD:SOT-23,,,
U1,ATTINY85-20PU,Housings_SOIC:SO-8_5.3x6.2mm_Pitch1.27mm,,,
U2,MCP4561-103E/MS,Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm,,,
